NAME OF COMPANY,SYMBOL,Yahoo Ticker,IPO Year
20 Microns Limited,20MICRONS,20MICRONS.NS,2008
21st Century Management Services Limited,21STCENMGM,21STCENMGM.NS,1995
360 ONE WAM LIMITED,360ONE,360ONE.NS,2019
3i Infotech Limited,3IINFOLTD,3IINFOLTD.NS,2021
3M India Limited,3MINDIA,3MINDIA.NS,2004
3P Land Holdings Limited,3PLAND,3PLAND.NS,1995
5Paisa Capital Limited,5PAISA,5PAISA.NS,2017
63 moons technologies limited,63MOONS,63MOONS.NS,2005
A2Z Infra Engineering Limited,A2ZINFRA,A2ZINFRA.NS,2010
AAA Technologies Limited,AAATECH,AAATECH.NS,2022
Aadhar Housing Finance Limited,AADHARHFC,AADHARHFC.NS,2024
Aakash Exploration Services Limited,AAKASH,AAKASH.NS,2020
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,AAREYDRUGS.NS,2021
Aaron Industries Limited,AARON,AARON.NS,2020
Aartech Solonics Limited,AARTECH,AARTECH.NS,2023
Aarti Drugs Limited,AARTIDRUGS,AARTIDRUGS.NS,2003
Aarti Industries Limited,AARTIIND,AARTIIND.NS,1995
Aarti Pharmalabs Limited,AARTIPHARM,AARTIPHARM.NS,2023
Aarti Surfactants Limited,AARTISURF,AARTISURF.NS,2020
Aarvi Encon Limited,AARVI,AARVI.NS,2020
Aavas Financiers Limited,AAVAS,AAVAS.NS,2018
Aban Offshore Limited,ABAN,ABAN.NS,1995
ABB India Limited,ABB,ABB.NS,1995
Abbott India Limited,ABBOTINDIA,ABBOTINDIA.NS,2010
Aditya Birla Capital Limited,ABCAPITAL,ABCAPITAL.NS,2017
A B Cotspin India Limited,ABCOTS,ABCOTS.NS,2025
Allied Blenders and Distillers Limited,ABDL,ABDL.NS,2024
Aditya Birla Fashion and Retail Limited,ABFRL,ABFRL.NS,2013
A B Infrabuild Limited,ABINFRA,ABINFRA.NS,2024
Aditya Birla Lifestyle Brands Limited,ABLBL,ABLBL.NS,2025
ABM International Limited,ABMINTLLTD,ABMINTLLTD.NS,2021
Aditya Birla Real Estate Limited,ABREL,ABREL.NS,2003
Aditya Birla Sun Life AMC Limited,ABSLAMC,ABSLAMC.NS,2021
ACC Limited,ACC,ACC.NS,1996
Accelya Solutions India Limited,ACCELYA,ACCELYA.NS,1999
Accuracy Shipping Limited,ACCURACY,ACCURACY.NS,2020
Action Construction Equipment Limited,ACE,ACE.NS,2006
Ace Integrated Solutions Limited,ACEINTEG,ACEINTEG.NS,2022
Archean Chemical Industries Limited,ACI,ACI.NS,2022
Andhra Cements Limited,ACL,ACL.NS,2023
Acme Solar Holdings Limited,ACMESOLAR,ACMESOLAR.NS,2024
Acutaas Chemicals Limited,ACUTAAS,ACUTAAS.NS,2021
Adani Energy Solutions Limited,ADANIENSOL,ADANIENSOL.NS,2015
Adani Enterprises Limited,ADANIENT,ADANIENT.NS,1997
Adani Green Energy Limited,ADANIGREEN,ADANIGREEN.NS,2018
Adani Ports and Special Economic Zone Limited,ADANIPORTS,ADANIPORTS.NS,2007
Adani Power Limited,ADANIPOWER,ADANIPOWER.NS,2009
ADF Foods Limited,ADFFOODS,ADFFOODS.NS,2010
Archidply Decor Limited,ADL,ADL.NS,2020
Ador Welding Limited,ADOR,ADOR.NS,1995
Adroit Infotech Limited,ADROITINFO,ADROITINFO.NS,1997
Allied Digital Services Limited,ADSL,ADSL.NS,2007
Advance Agrolife Limited,ADVANCE,ADVANCE.NS,2025
Advani Hotels & Resorts (India) Limited,ADVANIHOTR,ADVANIHOTR.NS,2007
Advent Hotels International Limited,ADVENTHTL,ADVENTHTL.NS,2025
Advanced Enzyme Technologies Limited,ADVENZYMES,ADVENZYMES.NS,2016
Aegis Logistics Limited,AEGISLOG,AEGISLOG.NS,1996
Aegis Vopak Terminals Limited,AEGISVOPAK,AEGISVOPAK.NS,2025
Aequs Limited,AEQUS,AEQUS.NS,2025
Aeroflex Enterprises Limited,AEROENTER,AEROENTER.NS,2022
Aeroflex Industries Limited,AEROFLEX,AEROFLEX.NS,2023
Aeroflex Neu Limited,AERONEU,AERONEU.NS,2023
Aether Industries Limited,AETHER,AETHER.NS,2022
Afcons Infrastructure Limited,AFCONS,AFCONS.NS,2024
Affle 3i Limited,AFFLE,AFFLE.NS,2019
Affordable Robotic & Automation Limited,AFFORDABLE,AFFORDABLE.NS,2024
Akme Fintrade (India) Limited,AFIL,AFIL.NS,2024
Abans Financial Services Limited,AFSL,AFSL.NS,2022
Agarwal Industrial Corporation Limited,AGARIND,AGARIND.NS,2014
Dr. Agarwal's Health Care Limited,AGARWALEYE,AGARWALEYE.NS,2025
AGI Greenpac Limited,AGI,AGI.NS,2000
Agi Infra Limited,AGIIL,AGIIL.NS,2024
Agri-Tech (India) Limited,AGRITECH,AGRITECH.NS,2014
Agro Phos India Limited,AGROPHOS,AGROPHOS.NS,2019
AGS Transact Technologies Limited,AGSTRA,AGSTRA.NS,2022
Anlon Healthcare Limited,AHCL,AHCL.NS,2025
Ahlada Engineers Limited,AHLADA,AHLADA.NS,2021
Asian Hotels (East) Limited,AHLEAST,AHLEAST.NS,2010
Ahluwalia Contracts (India) Limited,AHLUCONT,AHLUCONT.NS,2009
AIA Engineering Limited,AIAENG,AIAENG.NS,2005
Authum Investment & Infrastructure Limited,AIIL,AIIL.NS,2024
Airan Limited,AIRAN,AIRAN.NS,2019
Airo Lam limited,AIROLAM,AIROLAM.NS,2021
Ajanta Pharma Limited,AJANTPHARM,AJANTPHARM.NS,2000
Ajax Engineering Limited,AJAXENGG,AJAXENGG.NS,2025
Ajmera Realty & Infra India Limited,AJMERA,AJMERA.NS,2009
Ajooni Biotech Limited,AJOONI,AJOONI.NS,2021
Akash Infra-Projects Limited,AKASH,AKASH.NS,2019
Akg Exim Limited,AKG,AKG.NS,2021
AKI India Limited,AKI,AKI.NS,2023
Akshar Spintex Limited,AKSHAR,AKSHAR.NS,2022
AksharChem India Limited,AKSHARCHEM,AKSHARCHEM.NS,2017
Aksh Optifibre Limited,AKSHOPTFBR,AKSHOPTFBR.NS,2000
Akums Drugs and Pharmaceuticals Limited,AKUMS,AKUMS.NS,2024
Akzo Nobel India Limited,AKZOINDIA,AKZOINDIA.NS,2001
Alankit Limited,ALANKIT,ALANKIT.NS,2015
Albert David Limited,ALBERTDAVD,ALBERTDAVD.NS,2016
Alembic Limited,ALEMBICLTD,ALEMBICLTD.NS,1999
Alicon Castalloy Limited,ALICON,ALICON.NS,2006
Alivus Life Sciences Limited,ALIVUS,ALIVUS.NS,2021
Alkali Metals Limited,ALKALI,ALKALI.NS,2008
Alkem Laboratories Limited,ALKEM,ALKEM.NS,2015
Alkyl Amines Chemicals Limited,ALKYLAMINE,ALKYLAMINE.NS,2007
Allcargo Logistics Limited,ALLCARGO,ALLCARGO.NS,2006
Alldigi Tech Limited,ALLDIGI,ALLDIGI.NS,2005
All Time Plastics Limited,ALLTIME,ALLTIME.NS,2025
Almondz Global Securities Limited,ALMONDZ,ALMONDZ.NS,2008
Alok Industries Limited,ALOKINDS,ALOKINDS.NS,2020
Alpa Laboratories Limited,ALPA,ALPA.NS,2007
Alphageo (India) Limited,ALPHAGEO,ALPHAGEO.NS,2007
Alps Industries Limited,ALPSINDUS,ALPSINDUS.NS,1996
Amanta Healthcare Limited,AMANTA,AMANTA.NS,2025
Amber Enterprises India Limited,AMBER,AMBER.NS,2018
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR,AMBICAAGAR.NS,2004
Ambika Cotton Mills Limited,AMBIKCO,AMBIKCO.NS,2008
Ambuja Cements Limited,AMBUJACEM,AMBUJACEM.NS,1998
AMD Industries Limited,AMDIND,AMDIND.NS,2007
Amj Land Holdings Limited,AMJLAND,AMJLAND.NS,1995
Amines & Plasticizers Limited,AMNPLST,AMNPLST.NS,2023
Amrutanjan Health Care Limited,AMRUTANJAN,AMRUTANJAN.NS,2015
Anand Rathi Wealth Limited,ANANDRATHI,ANANDRATHI.NS,2021
Anant Raj Limited,ANANTRAJ,ANANTRAJ.NS,2006
ANDHRA PAPER LIMITED,ANDHRAPAP,ANDHRAPAP.NS,2004
The Andhra Sugars Limited,ANDHRSUGAR,ANDHRSUGAR.NS,1995
Angel One Limited,ANGELONE,ANGELONE.NS,2020
Anik Industries Limited,ANIKINDS,ANIKINDS.NS,2008
Ankit Metal & Power Limited,ANKITMETAL,ANKITMETAL.NS,2013
Anmol India Limited,ANMOL,ANMOL.NS,2021
Ansal Properties & Infrastructure Limited,ANSALAPI,ANSALAPI.NS,2006
Antelopus Selan Energy Limited,ANTELOPUS,ANTELOPUS.NS,2006
Antarctica Limited,ANTGRAPHIC,ANTGRAPHIC.NS,1997
Anthem Biosciences Limited,ANTHEM,ANTHEM.NS,2025
Anuh Pharma Limited,ANUHPHR,ANUHPHR.NS,2024
The Anup Engineering Limited,ANUP,ANUP.NS,2019
Anupam Rasayan India Limited,ANURAS,ANURAS.NS,2021
Apar Industries Limited,APARINDS,APARINDS.NS,2004
Anjani Portland Cement Limited,APCL,APCL.NS,2017
Apcotex Industries Limited,APCOTEXIND,APCOTEXIND.NS,1995
Apex Frozen Foods Limited,APEX,APEX.NS,2017
APL Apollo Tubes Limited,APLAPOLLO,APLAPOLLO.NS,2011
Alembic Pharmaceuticals Limited,APLLTD,APLLTD.NS,2011
Apollo Micro Systems Limited,APOLLO,APOLLO.NS,2018
Apollo Hospitals Enterprise Limited,APOLLOHOSP,APOLLOHOSP.NS,1996
Apollo Pipes Limited,APOLLOPIPE,APOLLOPIPE.NS,2019
Apollo Tyres Limited,APOLLOTYRE,APOLLOTYRE.NS,1995
Apollo Sindoori Hotels Limited,APOLSINHOT,APOLSINHOT.NS,2015
Aptech Limited,APTECHT,APTECHT.NS,2002
Aptus Value Housing Finance India Limited,APTUS,APTUS.NS,2021
Archidply Industries Limited,ARCHIDPLY,ARCHIDPLY.NS,2008
Archies Limited,ARCHIES,ARCHIES.NS,1998
Amara Raja Energy & Mobility Limited,ARE&M,ARE&M.NS,2003
Rajdarshan Industries Limited,ARENTERP,ARENTERP.NS,1995
Arfin India Limited,ARFIN,ARFIN.NS,2025
Aries Agro Limited,ARIES,ARIES.NS,2008
Arihant Capital Markets Limited,ARIHANTCAP,ARIHANTCAP.NS,2021
Arihant Superstructures Limited,ARIHANTSUP,ARIHANTSUP.NS,2017
Arisinfra Solutions Limited,ARISINFRA,ARISINFRA.NS,2025
Arkade Developers Limited,ARKADE,ARKADE.NS,2024
Arman Financial Services Limited,ARMANFIN,ARMANFIN.NS,2016
Aro Granite Industries Limited,AROGRANITE,AROGRANITE.NS,2007
Arrow Greentech Limited,ARROWGREEN,ARROWGREEN.NS,2015
Arshiya Limited,ARSHIYA,ARSHIYA.NS,2009
Anand Rathi Share and Stock Brokers Limited,ARSSBL,ARSSBL.NS,2025
Artemis Medicare Services Limited,ARTEMISMED,ARTEMISMED.NS,2020
Art Nirman Limited,ARTNIRMAN,ARTNIRMAN.NS,2021
Arvee Laboratories (India) Limited,ARVEE,ARVEE.NS,2021
