ticker,name
AED=X,USD/AED
AEDAUD=X,AED/AUD
AEDBHD=X,AED/BHD
AEDCAD=X,AED/CAD
AEDCHF=X,AED/CHF
AEDCNY=X,AED/CNY
AEDCZK=X,AED/CZK
AEDDKK=X,AED/DKK
AEDEGP=X,UAE Dirham (b) vs Egyptian Poun
AEDEUR=X,AED/EUR
AEDGBP=X,AED/GBP
AEDHKD=X,AED/HKD
AEDHUF=X,AED/HUF
AEDIDR=X,AED/IDR
AEDILS=X,AED/ILS
AEDINR=X,AED/INR
AEDIQD=X,AED/IQD
AEDISK=X,AED/ISK
AEDJOD=X,AED/JOD
AEDJPY=X,AED/JPY
AEDKES=X,AED/KES
AEDKRW=X,AED/KRW
AEDKWD=X,AED/KWD
AEDLKR=X,AED/LKR
AEDLTL=X,AED/LTL
AEDLVL=X,AED/LVL
AEDMAD=X,AED/MAD
AEDMUR=X,AED/MUR
AEDMXN=X,AED/MXN
AEDNOK=X,AED/NOK
AEDNZD=X,AED/NZD
AEDOMR=X,AED/OMR
AEDPHP=X,AED/PHP
AEDPKR=X,AED/PKR
AEDPLN=X,AED/PLN
AEDQAR=X,AED/QAR
AEDRUB=X,AED/RUB
AEDSAR=X,AED/SAR
AEDSEK=X,AED/SEK
AEDSGD=X,AED/SGD
AEDTHB=X,AED/THB
AEDTND=X,AED/TND
AEDTRY=X,AED/TRY
AEDTWD=X,AED/TWD
AEDUSD=X,AED/USD
AEDXDR=X,AED/XDR
AEDZAR=X,AED/ZAR
AFN=X,USD/AFN
AFNCHF=X,AFN/CHF
AFNEUR=X,AFN/EUR
AFNUSD=X,AFN/USD
ALL=X,USD/ALL
ALLCHF=X,ALL/CHF
ALLEUR=X,ALL/EUR
ALLGBP=X,ALL/GBP
ALLUSD=X,ALL/USD
AMD=X,USD/AMD
ANG=X,USD/ANG
ANGCAD=X,ANG/CAD
ANGCHF=X,ANG/CHF
ANGEUR=X,ANG/EUR
ANGGBP=X,ANG/GBP
ANGSRD=X,ANG/SRD
ANGUSD=X,ANG/USD
ANGZAR=X,ANG/ZAR
AOA=X,USD/AOA
AOACHF=X,AOA/CHF
AOAEUR=X,AOA/EUR
AOAGBP=X,AOA/GBP
AOAUSD=X,AOA/USD
ARS=X,USD/ARS
ARSAUD=X,ARS/AUD
ARSBOB=X,ARS/BOB
ARSBRL=X,ARS/BRL
ARSCAD=X,ARS/CAD
ARSCHF=X,ARS/CHF
ARSCLP=X,ARS/CLP
ARSCOP=X,ARS/COP
ARSDKK=X,ARS/DKK
ARSEUR=X,ARS/EUR
ARSGBP=X,ARS/GBP
ARSHKD=X,ARS/HKD
ARSJPY=X,ARS/JPY
ARSKRW=X,ARS/KRW
ARSMXN=X,ARS/MXN
ARSPEN=X,ARS/PEN
ARSPYG=X,ARS/PYG
ARSSGD=X,ARS/SGD
ARSTHB=X,ARS/THB
ARSUSD=X,ARS/USD
ARSUYU=X,ARS/UYU
ARSVEF=X,ARS/VEF
AUD=X,USD/AUD
AUDAED=X,AUD/AED
AUDANG=X,AUD/ANG
AUDARS=X,AUD/ARS
AUDAWG=X,AUD/AWG
AUDBAM=X,AUD/BAM
AUDBBD=X,AUD/BBD
AUDBHD=X,AUD/BHD
AUDBMD=X,AUD/BMD
AUDBOB=X,AUD/BOB
AUDBRL=X,AUD/BRL
AUDBSD=X,AUD/BSD
AUDBWP=X,AUD/BWP
AUDBZD=X,AUD/BZD
AUDCAD=X,AUD/CAD
AUDCHF=X,AUD/CHF
AUDCLP=X,AUD/CLP
AUDCNH=X,AUD/CNH
AUDCNY=X,AUD/CNY
AUDCOP=X,AUD/COP
AUDCRC=X,AUD/CRC
AUDCZK=X,AUD/CZK
AUDDKK=X,AUD/DKK
AUDDOP=X,AUD/DOP
AUDEGP=X,AUD/EGP
AUDERN=X,AUD/ERN
AUDEUR=X,AUD/EUR
AUDFJD=X,AUD/FJD
AUDGBP=X,AUD/GBP
AUDGHS=X,AUD/GHS
AUDGIP=X,AUD/GIP
AUDGTQ=X,AUD/GTQ
AUDHKD=X,AUD/HKD
AUDHNL=X,AUD/HNL
AUDHRK=X,AUD/HRK
AUDHUF=X,AUD/HUF
AUDIDR=X,AUD/IDR
AUDILS=X,AUD/ILS
AUDINR=X,AUD/INR
AUDISK=X,AUD/ISK
AUDJMD=X,AUD/JMD
AUDJOD=X,AUD/JOD
AUDJPY=X,AUD/JPY
AUDKES=X,AUD/KES
AUDKRW=X,AUD/KRW
AUDKWD=X,AUD/KWD
AUDKYD=X,AUD/KYD
AUDLKR=X,AUD/LKR
AUDLTL=X,AUD/LTL
AUDLVL=X,AUD/LVL
AUDMAD=X,AUD/MAD
AUDMGA=X,AUD/MGA
AUDMOP=X,AUD/MOP
AUDMUR=X,AUD/MUR
AUDMXN=X,AUD/MXN
AUDMYR=X,AUD/MYR
AUDNOK=X,AUD/NOK
AUDNZD=X,AUD/NZD
AUDOMR=X,AUD/OMR
AUDPEN=X,AUD/PEN
AUDPHP=X,AUD/PHP
AUDPKR=X,AUD/PKR
AUDPLN=X,AUD/PLN
AUDPYG=X,AUD/PYG
AUDQAR=X,AUD/QAR
AUDRON=X,AUD/RON
AUDRSD=X,AUD/RSD
AUDRUB=X,AUD/RUB
AUDSAR=X,AUD/SAR
AUDSCR=X,AUD/SCR
AUDSEK=X,AUD/SEK
AUDSGD=X,AUD/SGD
AUDSVC=X,AUD/SVC
AUDSYP=X,AUD/SYP
AUDTHB=X,AUD/THB
AUDTJS=X,AUD/TJS
AUDTMT=X,AUD/TMT
AUDTND=X,AUD/TND
AUDTRY=X,AUD/TRY
AUDTTD=X,AUD/TTD
AUDTWD=X,AUD/TWD
AUDUGX=X,AUD/UGX
AUDUSD=X,AUD/USD
AUDUYU=X,AUD/UYU
AUDVEF=X,AUD/VEF
AUDXCD=X,AUD/XCD
AUDXDR=X,AUD/XDR
AUDXPF=X,AUD/XPF
AUDZAR=X,AUD/ZAR
AWG=X,USD/AWG
AWGCHF=X,AWG/CHF
AWGEUR=X,AWG/EUR
AWGGBP=X,AWG/GBP
AWGUSD=X,AWG/USD
AZN=X,USD/AZN
AZNCHF=X,AZN/CHF
AZNEUR=X,AZN/EUR
AZNGBP=X,AZN/GBP
AZNUSD=X,AZN/USD
BAM=X,USD/BAM
BAMCHF=X,BAM/CHF
BAMEUR=X,BAM/EUR
BAMGBP=X,BAM/GBP
BAMUSD=X,BAM/USD
BBD=X,USD/BBD
BBDCHF=X,BBD/CHF
BBDDKK=X,BBD/DKK
BBDEUR=X,BBD/EUR
BBDGBP=X,BBD/GBP
BBDUSD=X,BBD/USD
BDT=X,USD/BDT
BDTCAD=X,BDT/CAD
BDTCHF=X,BDT/CHF
BDTEUR=X,BDT/EUR
BDTGBP=X,BDT/GBP
BDTHKD=X,BDT/HKD
BDTJPY=X,BDT/JPY
BDTSEK=X,BDT/SEK
BDTSGD=X,BDT/SGD
BDTUSD=X,BDT/USD
BGN=X,USD/BGN
BGNCHF=X,BGN/CHF
BGNCZK=X,BGN/CZK
BGNDKK=X,BGN/DKK
BGNEUR=X,BGN/EUR
BGNGBP=X,BGN/GBP
BGNLVL=X,BGN/LVL
BGNPLN=X,BGN/PLN
BGNTHB=X,BGN/THB
BGNTRY=X,BGN/TRY
BGNUSD=X,BGN/USD
BHD=X,USD/BHD
BHDAED=X,BHD/AED
BHDCHF=X,BHD/CHF
BHDDKK=X,BHD/DKK
BHDEUR=X,BHD/EUR
BHDGBP=X,BHD/GBP
BHDHKD=X,BHD/HKD
BHDJPY=X,BHD/JPY
BHDKWD=X,BHD/KWD
BHDNZD=X,BHD/NZD
BHDOMR=X,BHD/OMR
BHDPKR=X,BHD/PKR
BHDQAR=X,BHD/QAR
BHDSAR=X,BHD/SAR
BHDSGD=X,BHD/SGD
BHDUSD=X,BHD/USD
BHDXDR=X,BHD/XDR
BIF=X,USD/BIF
BMD=X,USD/BMD
BMDCHF=X,BMD/CHF
BMDDKK=X,BMD/DKK
BMDEUR=X,BMD/EUR
BMDGBP=X,BMD/GBP
BMDUSD=X,BMD/USD
BND=X,USD/BND
BNDCHF=X,BND/CHF
BNDDKK=X,BND/DKK
BNDEUR=X,BND/EUR
BNDGBP=X,BND/GBP
BNDIDR=X,BND/IDR
BNDUSD=X,BND/USD
BNDXDR=X,BND/XDR
BOB=X,USD/BOB
BOBARS=X,BOB/ARS
BOBBRL=X,BOB/BRL
